P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,A_PRICE,P_YEAR_MONTH,ADD_COL,P_DATE,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,M_GU_NAME
352653,120,망원시장,95,가지 1개,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352654,120,망원시장,49,간장 1통,,7500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352656,120,망원시장,19,감자 1kg,,3000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352660,120,망원시장,41,고등어 1마리,,5000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352668,120,망원시장,31,깻잎 100g,,1000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352684,120,망원시장,69,맛김 16팩,,5300,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352716,120,망원시장,10,수박 1통,,20000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352717,120,망원시장,29,시금치 1단,,2500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352685,120,망원시장,76,맥주 500ml 1캔,,2300,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352718,120,망원시장,55,식용유 1.8L,,9800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352719,120,망원시장,52,식초 1.8L,,4950,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352669,120,망원시장,102,꽃게(암게) 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352686,120,망원시장,101,멸치액젓 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352720,120,망원시장,1,쌀 20kg 1포,,70000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352721,120,망원시장,18,애호박 1개,,1500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352687,120,망원시장,39,명태 1마리,,5000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352722,120,망원시장,91,양배추 1포기,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352723,120,망원시장,15,양파 1망,,4000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352661,120,망원시장,47,고추장 1kg,,14800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352670,120,망원시장,105,낙지 1마리,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352688,120,망원시장,14,무 1개,,2000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352724,120,망원시장,70,어묵 300g,,1200,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352725,120,망원시장,93,열무 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352689,120,망원시장,92,미나리 100g,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352726,120,망원시장,8,오렌지 1개,,1000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352727,120,망원시장,17,오이(다다기) 1개,,700,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352671,120,망원시장,89,단감 1개(200g),,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352690,120,망원시장,71,밀가루 1kg,,2200,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352728,120,망원시장,40,오징어 1마리,,5000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352729,120,망원시장,74,우유 1L,,3200,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352691,120,망원시장,12,바나나 1송이,,7000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352730,120,망원시장,104,전복 5마리,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352731,120,망원시장,43,조개(바지락) 1kg,,10000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352657,120,망원시장,99,갓 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352662,120,망원시장,46,고춧가루(국산) 1kg,,40000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352672,120,망원시장,36,닭고기 1kg,,9000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352692,120,망원시장,84,바디워시 1000ml 1개,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352732,120,망원시장,38,조기 1마리,,2000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352733,120,망원시장,66,즉석밥 210g 3개입,,4500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352693,120,망원시장,3,배(신고) 1개,,5000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352734,120,망원시장,97,쪽파 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352735,120,망원시장,56,참기름 320ml,,9800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352673,120,망원시장,32,당근 1kg,,2000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352694,120,망원시장,13,배추 1포기,,5000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352736,120,망원시장,9,참외 1개,,2500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352737,120,망원시장,81,치약 160g 1개,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352695,120,망원시장,23,버섯(새송이버섯) 100g,,2000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352738,120,망원시장,59,치즈 400g,,9500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352739,120,망원시장,82,칫솔 4입 1개,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352663,120,망원시장,60,국수 900g,,3600,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352674,120,망원시장,25,대파 1kg,,2500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352696,120,망원시장,4,복숭아 1개,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352740,120,망원시장,62,컵라면 1개,,1250,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352741,120,망원시장,53,케찹 500g,,2980,Jun-24,,2024-06-01,1,전통시장,440000,마포구
